"language","source_id","english_source","pages","aida_decision_required"
"de","33b6dca29fd6ca3a","(2-passage air model with protective shroud and labyrinth; no certified IP rating claimed),","applications.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","fbc0739fca2a146c","(protective shroud and labyrinth for dusty environments; no certified IP rating claimed),","applications.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","fe3fdbb43cbbb86c","/
   BP-2P-0001 · 2-Passage Pneumatic Rotary Union","BP-2P-0001.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","45a235ccb97ed538","/
   BP-2P-30-0001 · 2-Passage Through-Bore Pneumatic Rotary Union (Ø30 mm Bore)","BP-2P-30-0001.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","d1679f6e7531ea56","/
   BP-3P-S06-0001 · 3-Passage + 6-Circuit Pneumatic-Electric Rotary Union","BP-3P-S06-0001.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","f527b792e9f62b30","/
   BP-4P-30-0001 · 4-Passage Through-Bore Pneumatic Rotary Union (Ø30 mm Bore)","BP-4P-30-0001.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","1b73d214302a11de","/
   BP-1P-0003 — Single-Passage Pneumatic Rotary Union","BP-1P-0003.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","5f28667d365c8154","/
   BP-1P-0006 · 1-Inlet/6-Outlet Pneumatic Rotary Union (4 mm Orifice)","BP-1P-0006.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","dc80e63424602032","/
   BP-2P-0002 · 2-Inlet/3-Outlet Pneumatic Rotary Union (4 mm Orifice)","BP-2P-0002.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","ccfb2a4000a811a2","/
   BP-2P-08-0001 · Compact 2-Passage Pneumatic Rotary Union","BP-2P-08-0001.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","be86629376dd0d09","/
   BP-2P-130-0001 · Heavy-Duty 2-Passage Pneumatic Rotary Union","BP-2P-130-0001.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","5c97fe70e44072d5","/
   BP-2P-16-0001 · 2-Passage Through-Bore Pneumatic Rotary Union (16 mm Bore)","BP-2P-16-0001.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
"de","6e52627d98f9ee20","/
   BP-2P-50-0001 · Dust-Resistant 2-Passage Pneumatic Rotary Union","BP-2P-50-0001.html","Approve a persistent localized translation or explicitly classify the source as non-translatable."
