file_path,url,page_type,title,h1,indexable,in_sitemap,canonical,schema_types,word_count,internal_links_in,internal_links_out,duplicate_group,geo_score,priority,status
404.html,https://www.begapunk.com/404.html,error,Page Not Found | Begapunk,Page Not Found,false,false,https://www.begapunk.com/404.html,,56,0,19,,38,P2,nonindex_or_special
about.html,https://www.begapunk.com/about.html,about,"About Begapunk | Rotary Joint Factory Ningbo, ISO9001 Certified",About Begapunk,true,true,https://www.begapunk.com/about.html,BreadcrumbList | ContactPoint | GeoCoordinates | ImageObject | ListItem | LocalBusiness | Organization | Person | PostalAddress,368,51,19,,51,P1,formal
application-automation-rotary-tables.html,https://www.begapunk.com/application-automation-rotary-tables.html,application,Air Rotary Union for Automation Rotary Tables: Selection Guide | Begapunk,Air Rotary Union for Automation Rotary Tables,true,true,https://www.begapunk.com/application-automation-rotary-tables.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,1945,51,29,,70,P1,formal
application-bottle-filling-capping.html,https://www.begapunk.com/application-bottle-filling-capping.html,application,Air Rotary Union for Bottle Filling and Capping Machines: Selection Guide | Begapunk,Air Rotary Union for Bottle Filling and Capping Machines,true,true,https://www.begapunk.com/application-bottle-filling-capping.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,1794,51,27,,70,P1,formal
application-cnc-pneumatic-clamping.html,https://www.begapunk.com/application-cnc-pneumatic-clamping.html,application,Air Rotary Union for CNC Pneumatic Clamping Fixtures | Begapunk,Air Rotary Union for CNC Pneumatic Clamping Fixtures,true,true,https://www.begapunk.com/application-cnc-pneumatic-clamping.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,499,49,24,,70,P3,formal
application-electronics-battery-test-fixtures.html,https://www.begapunk.com/application-electronics-battery-test-fixtures.html,application,Pneumatic Rotary Union for Electronics and Battery Test Fixtures | Begapunk,Pneumatic Rotary Union for Electronics and Battery Test Fixtures,true,true,https://www.begapunk.com/application-electronics-battery-test-fixtures.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,499,2,23,,70,P3,formal
application-laser-tube-cutting.html,https://www.begapunk.com/application-laser-tube-cutting.html,application,Air Rotary Union for Laser Tube Cutting Machines: Selection Guide | Begapunk,Air Rotary Union for Laser Tube Cutting Machines,true,true,https://www.begapunk.com/application-laser-tube-cutting.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,1493,51,27,,70,P1,formal
application-packaging-machinery.html,https://www.begapunk.com/application-packaging-machinery.html,application,Air Rotary Union for Packaging Machinery: Selection Guide | Begapunk,Air Rotary Union for Packaging Machinery,true,true,https://www.begapunk.com/application-packaging-machinery.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,1692,51,27,,70,P1,formal
application-pneumatic-tools-hose-anti-twist.html,https://www.begapunk.com/application-pneumatic-tools-hose-anti-twist.html,application,Air Swivel Rotary Joint for Pneumatic Tools: Selection Guide | Begapunk,Air Swivel Rotary Joint for Pneumatic Tools and Hose Anti-Twist,true,true,https://www.begapunk.com/application-pneumatic-tools-hose-anti-twist.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,2316,17,28,,70,P1,formal
application-robot-end-of-arm-tooling.html,https://www.begapunk.com/application-robot-end-of-arm-tooling.html,application,Air Rotary Union for Robot End-of-Arm Tooling: Selection Guide | Begapunk,Air Rotary Union for Robot End-of-Arm Tooling,true,true,https://www.begapunk.com/application-robot-end-of-arm-tooling.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,2171,18,28,,70,P1,formal
application-steel-dusty-environments.html,https://www.begapunk.com/application-steel-dusty-environments.html,application,Dust-Proof Air Rotary Union for Steel and Dusty Environments | Begapunk,Dust-Proof Air Rotary Union for Steel and Dusty Environments,true,true,https://www.begapunk.com/application-steel-dusty-environments.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,514,49,24,,70,P3,formal
application-textile-printing-converting.html,https://www.begapunk.com/application-textile-printing-converting.html,application,"Rotary Union for Textile, Printing, and Converting Equipment | Begapunk","Rotary Union for Textile, Printing, and Converting Equipment",true,true,https://www.begapunk.com/application-textile-printing-converting.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,488,1,23,,70,P3,formal
application-vacuum-packaging-machines.html,https://www.begapunk.com/application-vacuum-packaging-machines.html,application,Rotary Union for Vacuum Packaging Machines | Begapunk,Rotary Union for Vacuum Packaging Machines,true,true,https://www.begapunk.com/application-vacuum-packaging-machines.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,475,3,23,,70,P3,formal
application-welding-positioners.html,https://www.begapunk.com/application-welding-positioners.html,application,Air Rotary Union for Welding Positioners and Rotary Welding Tables | Begapunk,Air Rotary Union for Welding Positioners and Rotary Welding Tables,true,true,https://www.begapunk.com/application-welding-positioners.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | WebPage,480,1,23,,70,P3,formal
applications.html,https://www.begapunk.com/applications.html,application_hub,Air Rotary Union Applications | Pneumatic Rotary Joints for Industrial Machinery | Begapunk,Air Rotary Union Applications,true,true,https://www.begapunk.com/applications.html,BreadcrumbList | CollectionPage | ListItem,2199,51,36,,70,P3,formal
blog-rotary-joint-installation-mistakes.html,https://www.begapunk.com/blog-rotary-joint-installation-mistakes.html,technical_article,How to Install a Pneumatic Rotary Joint: 7 Mistakes That Cause Early Failure | Begapunk,How to Install a Pneumatic Rotary Joint: 7 Mistakes That Cause Early Failure,true,true,https://www.begapunk.com/blog-rotary-joint-installation-mistakes.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | TechArticle | WebPage,1228,24,22,,68,P3,formal
blog-rotary-joint-leaking.html,https://www.begapunk.com/blog-rotary-joint-leaking.html,technical_article,Rotary Joint Leaking? A Practical Diagnostic Flowchart | Begapunk,Rotary Joint Leaking? A Practical Diagnostic Flowchart for Factory Maintenance Teams,true,true,https://www.begapunk.com/blog-rotary-joint-leaking.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | TechArticle | WebPage,1536,16,22,,68,P3,formal
blog-rotary-joint-materials.html,https://www.begapunk.com/blog-rotary-joint-materials.html,technical_article,"Rotary Joint Body Materials: Aluminum, Stainless Steel, or Brass —Which One Actually Lasts? | Begapunk","Rotary Joint Body Materials: Aluminum, Stainless Steel, or Brass —Which One Actually Lasts?",true,true,https://www.begapunk.com/blog-rotary-joint-materials.html,Answer | BreadcrumbList | FAQPage | ImageObject | ListItem | Organization | Question | TechArticle | WebPage,1513,3,21,,68,P3,formal
blog-rotary-joint-selection.html,https://www.begapunk.com/blog-rotary-joint-selection.html,technical_article,How to Select a Pneumatic Rotary Joint: 5 Parameters | Begapunk,How to Select a Pneumatic Rotary Joint: 5 Parameters That Prevent Costly Mistakes,true,true,https://www.begapunk.com/blog-rotary-joint-selection.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | TechArticle | WebPage,1517,51,22,,68,P3,formal
blog-rotary-union-seal-types.html,https://www.begapunk.com/blog-rotary-union-seal-types.html,technical_article,"Rotary Union Seal Types: O-Ring, Lip Seal, and Spring-Energized PTFE Seal Compared | Begapunk","Rotary Union Seal Types: O-Ring, Lip Seal, and Spring-Energized PTFE Seal Compared",true,true,https://www.begapunk.com/blog-rotary-union-seal-types.html,Answer | BreadcrumbList | FAQPage | ListItem | Question | TechArticle | WebPage,1911,6,23,,68,P3,formal
blog-seal-replacement.html,https://www.begapunk.com/blog-seal-replacement.html,technical_article,Rotary Joint Seal Replacement: A Step-by-Step Guide for Maintenance Teams | Begapunk,Rotary Joint Seal Replacement: A Step-by-Step Guide for Maintenance Teams,true,true,https://www.begapunk.com/blog-seal-replacement.html,Answer | BreadcrumbList | FAQPage | ImageObject | ListItem | Organization | Question | TechArticle | WebPage,1237,7,24,,68,P3,formal
blog-threaded-vs-flange.html,https://www.begapunk.com/blog-threaded-vs-flange.html,technical_article,Threaded vs Flange Mounting for Rotary Joints: A Maintenance Team's Field Guide | Begapunk,Threaded vs Flange Mounting for Rotary Joints: A Maintenance Team's Field Guide,true,true,https://www.begapunk.com/blog-threaded-vs-flange.html,Answer | BreadcrumbList | FAQPage | ImageObject | ListItem | Organization | Question | TechArticle | WebPage,1541,6,21,,68,P3,formal
blog.html,https://www.begapunk.com/blog.html,knowledge_hub,Blog | Rotary Joint & Rotary Union Technical Resources | Begapunk,Technical Resources & Insights,true,true,https://www.begapunk.com/blog.html,Blog | ImageObject | Organization,350,51,25,,66,P3,formal
BP-1P-0003.html,https://www.begapunk.com/BP-1P-0003.html,product_detail,"BP-1P-0003 — 1-in-1-out Rotary Joint | Threaded Mount, Max 1 MPa | Begapunk",BP-1P-0003 — 1-in-1-out Rotary Joint,true,true,https://www.begapunk.com/BP-1P-0003.html,Brand | BreadcrumbList | ListItem | Offer | Product | PropertyValue,2595,13,27,,72,P1,formal
